date,customer_id,campaign_id,campaign_name,ad_group_id,ad_group_name,ad_id,ad_name,ad_type,ad_status,spend_krw,impressions,clicks,conversions,attributed_revenue_krw
2025-01-10,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602468,아무도 안 알려주는_A0000000000098465,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,21848,4521,35,0,0
2025-01-10,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602471,소희대표님_A0000000000098466,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,17236,3506,71,0,0
2025-01-10,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602474,뷰러 없이_A0000000000098464,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,11192,2299,39,0,0
2025-01-11,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602468,아무도 안 알려주는_A0000000000098465,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,8015,1029,8,0,0
2025-01-11,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602471,소희대표님_A0000000000098466,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,30859,3590,47,0,0
2025-01-11,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602474,뷰러 없이_A0000000000098464,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,34206,4083,74,0,50
2025-01-12,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602468,아무도 안 알려주는_A0000000000098465,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,16713,2396,36,0,82
2025-01-12,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602471,소희대표님_A0000000000098466,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,22337,2596,34,0,0
2025-01-12,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602474,뷰러 없이_A0000000000098464,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,37485,3882,68,0,0
2025-01-13,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602468,아무도 안 알려주는_A0000000000098465,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,17316,1479,19,0,0
2025-01-13,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602471,소희대표님_A0000000000098466,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,16279,1501,24,0,0
2025-01-14,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602468,아무도 안 알려주는_A0000000000098465,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,10995,1164,13,0,0
2025-01-14,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602471,소희대표님_A0000000000098466,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,13797,1210,15,1,47000
2025-01-14,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602474,뷰러 없이_A0000000000098464,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,35822,3859,44,0,27
2025-01-15,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602468,아무도 안 알려주는_A0000000000098465,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,18330,938,8,0,0
2025-01-15,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602471,소희대표님_A0000000000098466,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,15041,821,5,0,0
2025-01-15,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602474,뷰러 없이_A0000000000098464,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,12567,817,16,0,0
2025-01-16,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602468,아무도 안 알려주는_A0000000000098465,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,39860,9098,67,0,0
2025-01-16,4988024901,22112548031,250110_래쉬펌_디멘드젠,172503086639,250110_래쉬펌_숏츠_디멘드젠,728596602471,소희대표님_A0000000000098466,DEMAND_GEN_VIDEO_RESPONSIVE_AD,PAUSED,22679,2952,13,0,0
