brand_id,entity_type,entity_id,parent_adgroup_id,name,status,campaign_type,daily_budget_krw,created_at,updated_at
entropy,campaign,cmp-a001-01-000000010367775,,01. P_Brand_K_PC,ELIGIBLE,WEB_SITE,10000,2026-03-05T11:08:20.000Z,2026-03-16T10:23:05.000Z
entropy,campaign,cmp-a001-01-000000010389825,,02. P_Brand_K_M,ELIGIBLE,WEB_SITE,70000,2026-03-12T01:57:24.000Z,2026-03-27T09:44:13.000Z
entropy,campaign,cmp-a001-01-000000010499887,,03. P_Brand_K_애쉬브라운,ELIGIBLE,WEB_SITE,10000,2026-04-10T01:26:38.000Z,2026-04-13T06:36:40.000Z
entropy,campaign,cmp-a001-01-000000010501041,,04. P_Brand_K_베이지 브라운,ELIGIBLE,WEB_SITE,10000,2026-04-10T04:25:28.000Z,2026-04-13T06:36:40.000Z
entropy,campaign,cmp-a001-02-000000010388491,,03. S_Brand_K_PC_자사몰,ELIGIBLE,SHOPPING,10000,2026-03-11T11:38:34.000Z,2026-03-18T08:51:39.000Z
entropy,campaign,cmp-a001-02-000000010389397,,04. S_Brand_K_M_자사몰,ELIGIBLE,SHOPPING,20000,2026-03-12T00:54:59.000Z,2026-03-15T07:47:26.000Z
entropy,campaign,cmp-a001-02-000000010389400,,05. S_Brand_K_PC_브스,ELIGIBLE,SHOPPING,10000,2026-03-12T00:55:45.000Z,2026-03-14T01:31:53.000Z
entropy,campaign,cmp-a001-02-000000010393576,,06. S_Brand_K_M_브스,ELIGIBLE,SHOPPING,60000,2026-03-12T11:24:03.000Z,2026-03-14T05:25:46.000Z
entropy,campaign,cmp-a001-02-000000010393579,,07. S_일반_자사몰_브로우리프트,ELIGIBLE,SHOPPING,20000,2026-03-12T11:24:28.000Z,2026-03-16T11:37:47.000Z
entropy,campaign,cmp-a001-02-000000010393626,,08. S_일반_브스_셀프래쉬펌,ELIGIBLE,SHOPPING,20000,2026-03-12T11:49:39.000Z,2026-03-16T11:37:41.000Z
entropy,campaign,cmp-a001-04-000000005257544,,00_브랜드검색,ELIGIBLE,BRAND_SEARCH,0,2022-04-04T04:23:05.000Z,2025-12-15T02:17:04.000Z
morandypark,campaign,cmp-a001-01-000000009965417,,00. P_브랜드 캠페인,ELIGIBLE,WEB_SITE,10000,2025-11-03T05:34:04.000Z,2026-03-11T08:22:54.000Z
morandypark,campaign,cmp-a001-01-000000010124992,,01. P_자사몰_제품 K_MO,PAUSED,WEB_SITE,200000,2025-12-16T08:05:19.000Z,2026-05-07T01:39:14.000Z
morandypark,campaign,cmp-a001-01-000000010387709,,01. P_자사몰_제품 K_PC,PAUSED,WEB_SITE,15000,2026-03-11T08:23:52.000Z,2026-04-03T08:12:53.000Z
morandypark,campaign,cmp-a001-01-000000010695768,,02. P_자사몰_일반 캠페인_MO,ELIGIBLE,WEB_SITE,20000,2026-06-02T10:33:34.000Z,2026-06-05T08:24:50.000Z
morandypark,campaign,cmp-a001-01-000000010695838,,03. P_스스_일반 캠페인_MO,ELIGIBLE,WEB_SITE,25000,2026-06-02T10:49:33.000Z,2026-06-05T08:24:57.000Z
morandypark,campaign,cmp-a001-02-000000010125005,,00. S_브랜드 캠페인,ELIGIBLE,SHOPPING,50000,2025-12-16T08:06:31.000Z,2026-03-11T08:29:35.000Z
morandypark,campaign,cmp-a001-02-000000010146839,,01. S_스스_제품 캠페인_MO,ELIGIBLE,SHOPPING,50000,2025-12-23T02:16:46.000Z,2026-03-20T05:25:03.000Z
morandypark,campaign,cmp-a001-02-000000010166293,,02. S_자사몰_제품 캠페인 _MO,ELIGIBLE,SHOPPING,50000,2025-12-30T05:19:16.000Z,2026-03-20T05:48:11.000Z
morandypark,campaign,cmp-a001-02-000000010422725,,03. S_스스_제품 캠페인_PC,PAUSED,SHOPPING,0,2026-03-20T05:25:39.000Z,2026-06-05T08:25:18.000Z
morandypark,campaign,cmp-a001-02-000000010422730,,04. S_자사몰_제품 캠페인_PC,PAUSED,SHOPPING,0,2026-03-20T05:26:18.000Z,2026-06-05T08:25:19.000Z
morandypark,campaign,cmp-a001-02-000000010422913,,99. 벌크 캠페인,ELIGIBLE,SHOPPING,0,2026-03-20T05:49:56.000Z,2026-03-20T05:49:56.000Z
entropy,adgroup,cmp-a001-01-000000010367775,grp-a001-01-000000063551635,01.PC_브랜드_엔트로피,ELIGIBLE,,0,2026-03-05T11:10:35.000Z,2026-06-02T01:59:40.000Z
entropy,adgroup,cmp-a001-01-000000010389825,grp-a001-01-000000063919721,01.MO_브랜드_엔트로피,ELIGIBLE,,0,2026-03-13T05:27:17.000Z,2026-06-02T02:00:07.000Z
entropy,adgroup,cmp-a001-01-000000010499887,grp-a001-01-000000065070935,01.PC_브랜드_애쉬브라운,ELIGIBLE,,0,2026-04-10T01:27:13.000Z,2026-06-02T02:00:16.000Z
entropy,adgroup,cmp-a001-01-000000010501041,grp-a001-01-000000065075722,01.PC_브랜드_베이지브라운,ELIGIBLE,,0,2026-04-10T04:30:56.000Z,2026-06-02T02:00:24.000Z
entropy,adgroup,cmp-a001-02-000000010388491,grp-a001-02-000000063834603,06. PC_셀프래쉬펌,ELIGIBLE,,0,2026-03-11T11:39:56.000Z,2026-06-04T06:16:53.000Z
entropy,adgroup,cmp-a001-02-000000010389400,grp-a001-02-000000063845295,04. PC_셀프래쉬펌,ELIGIBLE,,0,2026-03-12T00:56:03.000Z,2026-04-06T06:01:34.000Z
entropy,adgroup,cmp-a001-02-000000010393579,grp-a001-02-000000063872850,01. PC_브로우리프트,PAUSED,,30000,2026-03-12T11:31:19.000Z,2026-05-11T23:49:22.000Z
entropy,adgroup,cmp-a001-02-000000010393626,grp-a001-02-000000063874063,02. M_셀프래쉬펌,ELIGIBLE,,100000,2026-03-12T11:50:14.000Z,2026-04-27T23:36:08.000Z
entropy,adgroup,cmp-a001-02-000000010393576,grp-a001-02-000000063921699,17. MO_터프 브로우 피니셔 (5 Colors),ELIGIBLE,,0,2026-03-13T05:51:18.000Z,2026-06-08T23:09:30.000Z
entropy,adgroup,cmp-a001-02-000000010389397,grp-a001-02-000000063921742,06. MO_셀프래쉬펌,ELIGIBLE,,0,2026-03-13T05:51:41.000Z,2026-04-15T23:46:10.000Z
entropy,adgroup,cmp-a001-04-000000005257544,grp-a001-04-000000042538820,01. 브랜드검색_MO,PAUSED,,0,2024-05-20T07:21:47.000Z,2026-04-08T08:59:14.000Z
