date,ad_id,spend_usd,spend_krw,impressions,clicks,conversions,attributed_revenue_usd,attributed_revenue_krw,roas
2026-02-04 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-01-28 00:00:00,1854724100149617,42.92,,22156,28,0,0,,0
2026-01-24 00:00:00,1854723336904753,6.21,,2493,23,0,0,,0
2026-02-04 00:00:00,1854723183588354,0,,0,0,0,0,,
2026-01-28 00:00:00,1854723859013762,129.6,,23256,374,0,0,,0
2026-01-31 00:00:00,1854723336904737,0,,0,0,0,0,,
2026-01-27 00:00:00,1854712369545346,0,,0,0,0,0,,
2026-01-30 00:00:00,1854723859011826,19.93,,3163,64,0,0,,0
2026-01-29 00:00:00,1854723859013778,0.77,,321,3,0,0,,0
2026-01-30 00:00:00,1854724089058577,15.98,,8407,14,0,0,,0
2026-01-27 00:00:00,1854712312479905,0,,0,0,0,0,,
2026-01-28 00:00:00,1854723183588354,66.42,,33292,50,0,0,,0
2026-02-10 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-10 00:00:00,1854724100149617,0,,0,0,0,0,,
2026-01-29 00:00:00,1854723859013762,140.3,,28705,460,0,0,,0
2026-02-05 00:00:00,1854723183588354,0,,0,0,0,0,,
2026-01-30 00:00:00,1854723336904737,0,,0,0,0,0,,
2026-02-06 00:00:00,1854723859011826,0,,0,0,0,0,,
2026-02-07 00:00:00,1854724089058577,0,,0,0,0,0,,
2026-01-31 00:00:00,1854723859011826,31.61,,5948,117,0,0,,0
2026-02-04 00:00:00,1854723859013778,0,,0,0,0,0,,
2026-01-29 00:00:00,1854723183588354,90.66,,46868,83,0,0,,0
2026-02-11 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-01-28 00:00:00,1854712369545346,0,,0,0,0,0,,
2026-01-30 00:00:00,1854723336904753,0,,0,0,0,0,,
2026-01-27 00:00:00,1854724100149617,46.48,,15528,45,0,0,,0
2026-02-13 00:00:00,1854723859011826,0,,0,0,0,0,,
2026-01-24 00:00:00,1854723336904737,3.72,,912,12,0,0,,0
2026-01-28 00:00:00,1854723859013778,5.24,,924,14,0,0,,0
2026-01-31 00:00:00,1854724089058577,12.61,,8212,15,0,0,,0
2026-01-30 00:00:00,1854723859013762,124.75,,22498,390,0,0,,0
2026-01-29 00:00:00,1854723336904737,0,,0,0,0,0,,
2026-01-28 00:00:00,1854723859011826,15.78,,2953,45,0,0,,0
2026-01-25 00:00:00,1854712369545346,0,,3,0,0,0,,
2026-02-01 00:00:00,1854724089058577,0,,0,0,0,0,,
2026-02-06 00:00:00,1854723859013778,0,,0,0,0,0,,
2026-01-30 00:00:00,1854723183588354,100.1,,54928,99,0,0,,0
2026-02-12 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-01-29 00:00:00,1854724100149617,32.07,,16664,32,0,0,,0
2026-01-23 00:00:00,1854723336904753,32.01,,15674,87,0,0,,0
2026-01-25 00:00:00,1854712312479905,0,,1,0,0,0,,
2026-02-04 00:00:00,1854723859011826,0,,0,0,0,0,,
2026-02-12 00:00:00,1854723183588354,0,,0,0,0,0,,
2026-02-05 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-05 00:00:00,1854724100149617,0,,0,0,0,0,,
2026-02-11 00:00:00,1854724100149617,0,,0,0,0,0,,
2026-01-23 00:00:00,1854723336904737,69.77,,29704,191,0,0,,0
2026-01-31 00:00:00,1854723183588354,106.55,,71029,104,0,0,,0
2026-02-13 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-01-26 00:00:00,1854712369545346,1.01,,1108,4,0,0,,0
2026-02-11 00:00:00,1854723859011826,0,,0,0,0,0,,
2026-02-05 00:00:00,1854723859013778,0,,0,0,0,0,,
2026-02-02 00:00:00,1854724089058577,0,,0,0,0,0,,
2026-02-05 00:00:00,1854723859011826,0,,0,0,0,0,,
2026-01-30 00:00:00,1854723859013778,3.29,,458,10,0,0,,0
2026-02-08 00:00:00,1854724089058577,0,,0,0,0,0,,
2026-01-26 00:00:00,1854712312479905,1.27,,1636,4,0,0,,0
2026-02-06 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-04 00:00:00,1854724100149617,0,,0,0,0,0,,
2026-01-29 00:00:00,1854723859011826,9.26,,1748,30,0,0,,0
2026-02-01 00:00:00,1854723183588354,0,,0,0,0,0,,
